prompt_id,tag,size,seed,prompt,negativePrompt,sampler,cfgScale,note
73,people,576x768,3401667259,"masterpiece, best quality, ultra-detailed, full body, girl, chibi, cute, smile, white Bob haircut, red eyes, earring, white shirt, black skirt, lace legwear, sitting on red sofa, seductive posture, smile, A sleek black coffee table sits in front of the sofa and a few decorative items are placed on the shelves, beautiful detailed face,","low quality, worst quality",Eular a,7,
74,illustration,704x856,762635564,"realistic, portrait of a girl, AI language model, silver hair, question answering, smart, kind, energetic, cheerful, creative, with sparkling eyes and a contagious smile, information providing, conversation engaging, wide range of topics, accurate responses, helpful responses, knowledgeable, reliable, friendly, intelligent, sleek and futuristic design elements, and a complex network of circuits and processors","sexy, paintings, loli, big head, sketches, worst quality, low quality, normal quality, lowres, normal quality, monochrome, grayscale, skin spots, acnes, skin blemishes, age spot, glans, nsfw, nipples, extra fingers, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long",Eular a,7,
75,people,512x768,2215488272,"white background hexagon, detailed face, smile, chinese style, immortal demeanor, long-haired man, peaks, deep ravines, stars, turbulent winds, soaring dragons, cross-shaped sword, purple clouds, giant birds, portal, smoke, flames, mystical runes, ancient robe, red petals, halo, lightning, thunder","EasyNegative, worst quality, low quality, badhandv",Eular a,7,
76,scenery,512x768,2337355207,"masterpiece, best quality, bird's eye view, asymmetrical, blue ocean, low tide, sea waves, coastal road, sandy beach, piers, sailboats, yachts, ship wake, contrail, cars, tourists, lighthouse, seagulls, horizon, breeze, summer, morning, sunny, cloud, calm, fresh air, depth of field","EasyNegative, greyscale, monochrome, water mark, signature",Eular a,7,
77,illustration,768x1024,1791574510,"a cute kitten made out of metal, cyborg, tail  detailed wire, intricate details, hdr, intricate details, hyperdetailed, cinematic shot, vignette, centered","deformed, distorted, disfigured, poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, mutated hands and fingers, disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation, flowers, human, man, woman",Eular a,7,
78,people,512x768,4061029740,"extremely detailed CG unity k wallpaper, masterpiece, best quality, ultra-detailed, best illustration, best shadow, ultra-high res, realistic, photo-realistic, girl, shopping mall rooftop cafe, white opaque shirt with bow tie, puffy eyes, looking at viewer, smile, close up","paintings, sketches, worst quality, low quality, normal quality, low res, normal quality, monochrome, grayscale, skin spots, acnes, skin blemishes, age spot, glans, bad legs, error legs, bad feet",Eular a,7,
79,world knowledge,512x512,3592093690,"boy, photograph of Donald Trump, the_trump, business suit, ahegao face, tongue out, upper body, masterpiece, intricate details, highly detailed, bokeh, depth of field dontdonaldTrump_v","easynegative, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name, deformed iris, deformed pupils, semi-realistic, cgi, d, render, sketch, cartoon,",Eular a,7,
80,people,768x768,3895052816,"colorwater, negative space, girl, woman, lips, trees, flowers, birds, bamboo, lakes, Hangzhou","mutated hands, poorly drawn hands, fused fingers, too many fingers, bad hands, missing fingers, extra digit, artist name, bad_prompt_version easynegative",Eular a,7,
81,people,512x768,1434108678,"Exquisite masterpiece, solo portrait of a girl with pink hair, blue eyes, and a captivating smile, She stands elegantly, adorned with a floral print milkmaid dress against a beautiful background","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
82,people,512x768,166329422,"Top-tier masterpiece, a dynamic portrait of a man with long, messy hair donning pilot sunglasses and a white shirt. His captivating gaze meets the viewer's from below against the vibrant backdrop of Tokyo's night cityscape","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
83,scenery,768x512,2230358527,"An award-winning, 8k CG Unity wallpaper, an exquisitely detailed autumn landscape adorned with vibrant leaves, showcasing Bokeh, Depth of Field, HDR, and other stunning effects, Trending on ArtStation for its unmatched quality and captivating use of Chromatic Aberration and bloom","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
84,animal,512x768,2995762643,"A meticulously crafted masterpiece, a highly detailed, black cat captured with the utmost precision, Its tininess adds to its charm, illuminated by warm and inviting lighting","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
85,vehicle,768x512,3518075494,"An official 8k CG Unity masterpiece, an exquisitely detailed illustration of a bright red sports car in a cyberpunk Tokyo setting, The car drifts along wet, neon-lit roads, capturing the thrill of 'Need for Speed'","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
86,architecture,768x512,2282177607,"Stunning wide-angle architecture photography, an award-winning contemporary living room flooded with warm sunlight, highlighting cozy furniture, interesting lights, and shadows","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
87,illustration,768x512,132340236,"Gorgeous cyborg portrait, elegant and highly detailed, with brown hair adorned in majestic gold butterfly filigree. A surreal masterpiece inspired by artgerm, ruan jia, and greg rutkowski, featuring broken glass elements and stunning HDR effects","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
88,art,512x768,384804,"Exquisite masterpiece, intricate oil painting of a violet flower in a jar, resting on a table covered with a white cloth, A classic and impressionistic artwork reminiscent of Monet's style","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
89,food,768x512,1719354594,"Detailed masterpiece of a bowl of ramen","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
90,world knowledge,512x768,6021156540,"Captivating K-pop idol producer playing basketball, sleek style, perfect figure, and gray hair","worst quality, low quality, normal quality, lowres, monochrome, grayscale",Eular a,7,extended
