prompt_id,tag,size,seed,prompt,negativePrompt,sampler,cfgScale,note
23,art,512x768,9133783679,"a painting of an ornate treasure chest with a broad sword propped up against it, glowing in a dark cave, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
24,art,512x768,4131109744,"an oil surrealist painting of a dreamworld on a seashore where clocks and watches appear to be inexplicably limp and melting in the desolate landscape a table on the left, with a golden watch swarmed by ants a strange fleshy creature in the center of the painting, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
25,art,512x768,8007266095,"light and happiness throughout and finding its way to every corner of the world, abstract oil painting, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
26,art,512x768,384804,"oil painting, art, painting, violet flower, jar, table, white cloth, brush, classic, impressionism, artwork by Monet, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
27,artifact,768x512,5984593491,"a blue t-shirt with a dinosaur on it, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
28,artifact,768x512,1461816475,"a paranoid android freaking out and jumping into the air because it is surrounded by colorful Easter eggs, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
29,artifact,768x512,8115899322,"a silver doorknocker on a mahoghany door, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
30,artifact,768x512,4556155879,"a white robot, a red robot and a black robot standing together, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
31,artifact,768x512,6636029176,"a yellow diamond-shaped sign with a wooly mammoth silhouette, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
32,food,768x512,1719354594,"1 bowl of ramen, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
33,food,768x512,2003469210,"A bowl of Beef Pho, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
34,food,768x512,1719354594,Detailed masterpiece of a bowl of ramen,"disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
35,food,768x512,1409520675,"a glass of orange juice with an orange peel stuck on the rim, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
36,food,768x512,9018489340,"a wine bottle with a red ribbon wrapped around it, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
37,food,768x512,8554415131,"five green peppers to the right of two red onions, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
38,food,768x512,2670652932,"milk pouring from a glass into a bowl, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
39,illustration,512x768,762635564,"realistic, portrait of a girl, AI language model, silver hair, question answering, smart, kind, energetic, cheerful, creative, with sparkling eyes and a contagious smile, information providing, conversation engaging, wide range of topics, accurate responses, helpful responses, knowledgeable, reliable, friendly, intelligent, sleek and futuristic design elements, and a complex network of circuits and processors","sexy, paintings, loli, big head, sketches, worst quality, low quality, normal quality, lowres, normal quality, monochrome, grayscale, skin spots, acnes, skin blemishes, age spot, glans, nsfw, nipples, extra fingers, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long",Eular a,7,
40,illustration,768x512,132340236,"Gorgeous cyborg portrait, elegant and highly detailed, with brown hair adorned in majestic gold butterfly filigree. A surreal masterpiece inspired by artgerm, ruan jia, and greg rutkowski, featuring broken glass elements and stunning HDR effects","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
41,illustration,768x512,1480882407,"a cube made of porcupine, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
42,illustration,768x512,1791574510,"a cute kitten made out of metal, cyborg, tail  detailed wire, intricate details, hdr, intricate details, hyperdetailed, cinematic shot, vignette, centered","deformed, distorted, disfigured, poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, mutated hands and fingers, disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation, flowers, human, man, woman",Eular a,7,
43,illustration,768x512,5682533250,"a metallic blue sphere to the left of a yellow box made of felt, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
44,illustration,768x512,3918434010,"a red cube on top of a blue cube, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
45,illustration,768x512,4930352916,"a square with an angry face, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
46,illustration,768x512,132340236,"portrait of beautiful cyborg with brown hair, intricate, elegant, highly detailed, majestic, digital photography, art by artgerm and ruan jia and greg rutkowski surreal painting gold butterfly filigree, broken glass, hdr","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
47,illustration,768x512,6717752929,"the words 'KEEP OFF THE GRASS', masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
48,people,512x512,3895052816,"colorwater, negative space, girl, woman, lips, trees, flowers, birds, bamboo, lakes, Hangzhou","mutated hands, poorly drawn hands, fused fingers, too many fingers, bad hands, missing fingers, extra digit, artist name, bad_prompt_version easynegative",Eular a,7,
49,people,512x768,1434108678,"1girl, solo, closeup portrait, standing, pink hair, long hair, hair ornament, floating hair, blue eyes, looking at viewer, looking away, smile, closed mouth, fl print milkmaid dress, beautiful background, masterpiece, best quality, best shadow, intricate","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
50,people,512x768,1434108678,"Exquisite masterpiece, solo portrait of a girl with pink hair, blue eyes, and a captivating smile, She stands elegantly, adorned with a floral print milkmaid dress against a beautiful background","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
51,people,512x768,3589893419,"RAW photo, best quality, realistic, photo-realistic, girl, high quality, high detailed skin, puffy eyes, gorgeous hair, dark room, rim lighting, dimly lit, dark night, indoors, portrait, black hair, dark background, short hair","worst quality, low quality, monochrome, EasyNegative, bad-artist bad-image-v-, bad_prompt_version, ng_deepnegative_v_t, verybadimagenegative_v-, vile_prompt, bad-hands-, painting, illustration",Eular a,7,
52,people,512x768,166329422,"Top-tier masterpiece, a dynamic portrait of a man with long, messy hair donning pilot sunglasses and a white shirt. His captivating gaze meets the viewer's from below against the vibrant backdrop of Tokyo's night cityscape","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
53,people,512x768,5661439270,"a Saint Bernard standing up with its paws in the air A young girl is seated on the dog's shoulders, masterpiece, best quality, best shadow, intricate","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
54,people,512x768,4467726520,"a frustrated child, masterpiece, best quality, best shadow, intricate","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
55,people,512x768,8904114895,"a group of skiers are preparing to walk up a sand dune, masterpiece, best quality, best shadow, intricate","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
56,people,512x768,6527211001,"a man eating a glazed donut and a woman eating a chocolate cake, masterpiece, best quality, best shadow, intricate","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
57,people,512x768,3892569215,"an old man with a long grey beard and green eyes, masterpiece, best quality, best shadow, intricate","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
58,people,512x768,166329422,"best quality, masterpiece, best shadow, intricate, ultra high res, 1man, long hair, messy hair, pilot sunglasses, white shirt, dynamic pose, looking at viewer, from below, Tokyo city background, night city","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
59,people,512x768,4061029740,"extremely detailed CG unity k wallpaper, masterpiece, best quality, ultra-detailed, best illustration, best shadow, ultra-high res, realistic, photo-realistic, girl, shopping mall rooftop cafe, white opaque shirt with bow tie, puffy eyes, looking at viewer, smile, close up","paintings, sketches, worst quality, low quality, normal quality, low res, normal quality, monochrome, grayscale, skin spots, acnes, skin blemishes, age spot, glans, bad legs, error legs, bad feet",Eular a,7,
60,people,512x768,3401667259,"masterpiece, best quality, ultra-detailed, full body, girl, chibi, cute, smile, white Bob haircut, red eyes, earring, white shirt, black skirt, lace legwear, sitting on red sofa, seductive posture, smile, A sleek black coffee table sits in front of the sofa and a few decorative items are placed on the shelves, beautiful detailed face,","low quality, worst quality",Eular a,7,
61,people,512x768,2215488272,"white background hexagon, detailed face, smile, chinese style, immortal demeanor, long-haired man, peaks, deep ravines, stars, turbulent winds, soaring dragons, cross-shaped sword, purple clouds, giant birds, portal, smoke, flames, mystical runes, ancient robe, red petals, halo, lightning, thunder","EasyNegative, worst quality, low quality, badhandv",Eular a,7,
62,people,768x512,1684432449,"RAW photo, best quality, realistic, photo-realistic, masterpiece, an extremely delicate and beautiful, extremely detailed, CG, unity, k wallpaper, Amazing, finely detail, light smile, extremely detailed CG unity k wallpaper, huge filesize, ultra-detailed, highres, absurdres, soft light, medium hair, short bang, pink hair, floating hair","paintings, sketches, worst quality, low quality, normal quality, lowres, monochrome, grayscale, skin spots, acnes, skin blemishes, age spot, glans, extra fingers, fewer fingers, watermark, white letters, multi nipples, bad anatomy, bad hands, text, error, missing fingers, missing arms, missing legs, extra digit,",Eular a,7,
63,produce & plant,768x512,6532914018,"A photo of a four-leaf clover made of water , masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
64,produce & plant,768x512,7459922620,"A photo of a maple leaf made of water , masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
65,produce & plant,768x512,8376493814,"a butterfly kite stuck high in a tree, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
66,produce & plant,768x512,7465129606,"a small garden with an apple tree behind it, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
67,produce & plant,768x512,2233537572,"a smiling banana wearing a bandana, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
68,scenery,512x768,2337355207,"masterpiece, best quality, bird's eye view, asymmetrical, blue ocean, low tide, sea waves, coastal road, sandy beach, piers, sailboats, yachts, ship wake, contrail, cars, tourists, lighthouse, seagulls, horizon, breeze, summer, morning, sunny, cloud, calm, fresh air, depth of field","EasyNegative, greyscale, monochrome, water mark, signature",Eular a,7,
69,scenery,768x512,2230358527,"An award-winning, 8k CG Unity wallpaper, an exquisitely detailed autumn landscape adorned with vibrant leaves, showcasing Bokeh, Depth of Field, HDR, and other stunning effects, Trending on ArtStation for its unmatched quality and captivating use of Chromatic Aberration and bloom","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
70,scenery,768x512,998785767,"a close-up of the eye of the planet Jupiter, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
71,scenery,768x512,173376499,"a fall landscape with a small cottage next to a lake, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
72,scenery,768x512,3698502578,"a tennis court with a basketball hoop in one corner, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
73,scenery,768x512,3745127138,"a tidal wave approaching a coastal road, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
74,scenery,768x512,2230358527,"masterpiece, best quality, high quality, extremely detailed CG unity 8k wallpaper, landscape with texture, A place with lots of leaves on the ground and autumn colors,award winning photography, Bokeh, Depth of Field, HDR, bloom, Chromatic Aberration, extremely detailed, trending on artstation","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
75,scenery,768x512,2983353700,"the word 'START' written in chalk on a sidewalk, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
76,vehicle,768x512,4568468532,"A photograph of the inside of a subway train There are frogs sitting on the seats One of them is reading a newspaper The window shows the river in the background, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
77,vehicle,768x512,3518075494,"An official 8k CG Unity masterpiece, an exquisitely detailed illustration of a bright red sports car in a cyberpunk Tokyo setting, The car drifts along wet, neon-lit roads, capturing the thrill of 'Need for Speed'","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,extended
78,vehicle,768x512,9286102128,"a old-time car with a large front grille, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
79,vehicle,768x512,6047528567,"a submarine floating past a shark, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
80,vehicle,768x512,4402297889,"a subway train coming out of a tunnel, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
81,vehicle,768x512,5235424873,"a subway train with no cows in it, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
82,vehicle,768x512,3518075494,"masterpiece, best quality, official art, extremely detailed CG unity 8k wallpaper, illustration, light, red car, bright, motor vehicle, ground vehicle, sports car, vehicle focus, road, need for speed, moving, wet, cyberpunk, tokyo, neon lights, drift","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,original
83,world knowledge,512x512,3592093690,"boy, photograph of Donald Trump, the_trump, business suit, ahegao face, tongue out, upper body, masterpiece, intricate details, highly detailed, bokeh, depth of field dontdonaldTrump_v","easynegative, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name, deformed iris, deformed pupils, semi-realistic, cgi, d, render, sketch, cartoon,",Eular a,7,
84,world knowledge,512x768,6021156540,"Captivating K-pop idol producer playing basketball, sleek style, perfect figure, and gray hair","worst quality, low quality, normal quality, lowres, monochrome, grayscale",Eular a,7,extended
85,world knowledge,512x768,6021156540,"kpop, korea star, idol producer, black shirt, grey long pants, white suspenders, perfect figure, full body, playing basketball, white background, short hair, middle parting hair style, gray hair, slim, masterpiece, best quality, best shadow, intricate","worst quality, low quality, normal quality, lowres, monochrome, grayscale",Eular a,7,
86,world knowledge,768x512,9632658022,"A shiny VW van that has flowers painted on it A smiling sloth stands on grass in front of the van and is wearing a leather jacket, a cowboy hat, a kilt and a bowtie The sloth is holding a quarterstaff and a big book ink sketch, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
87,world knowledge,768x512,7829008466,"a Ferrari Testarossa in front of the Kremlin, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
88,world knowledge,768x512,9826328824,"a boat in the canals of venice, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
89,world knowledge,768x512,5956840504,"an abstract painting of the Empire State Building, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
90,world knowledge,768x512,735836385,"the cover of The Beatle's album Revolver, masterpiece, best quality, best shadow, intricate","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",Eular a,7,
