prompt_id,tag,size,seed,prompt,negativePrompt,sampler,cfgScale
33,food,768x512,2670652932,"masterpiece, best quality, best shadow, intricate, milk pouring from a glass into a bowl","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
34,food,768x512,9018489340,"masterpiece, best quality, best shadow, intricate, a wine bottle with a red ribbon wrapped around it","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
35,illustration,768x512,1480882407,"masterpiece, best quality, best shadow, intricate, a cube made of porcupine","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
36,illustration,768x512,5682533250,"masterpiece, best quality, best shadow, intricate, a metallic blue sphere to the left of a yellow box made of felt","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
37,illustration,768x512,6717752929,"masterpiece, best quality, best shadow, intricate, the words 'KEEP OFF THE GRASS'","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
38,illustration,768x512,4930352916,"masterpiece, best quality, best shadow, intricate, a square with an angry face","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
39,illustration,768x512,3918434010,"masterpiece, best quality, best shadow, intricate, a red cube on top of a blue cube","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
40,architecture,768x512,7490480091,"masterpiece, best quality, best shadow, intricate, a group of cats in a meeting. there is a whiteboard with ""stack more layers"" written on it.","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
41,architecture,768x512,2060098864,"masterpiece, best quality, best shadow, intricate, An empty fireplace with a television above it. The TV shows a lion hugging a giraffe.","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
42,architecture,768x512,3390813036,"masterpiece, best quality, best shadow, intricate, a bunch of laptops piled on a sofa","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
43,architecture,768x512,5910226421,"masterpiece, best quality, best shadow, intricate, a ceiling fan with five brown blades","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
44,architecture,768x512,5278374185,"masterpiece, best quality, best shadow, intricate, a living room with a large Egyptian statue in the corner","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
45,scenery,768x512,3698502578,"masterpiece, best quality, best shadow, intricate, a tennis court with a basketball hoop in one corner","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
46,scenery,768x512,998785767,"masterpiece, best quality, best shadow, intricate, a close-up of the eye of the planet Jupiter","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
47,scenery,768x512,2983353700,"masterpiece, best quality, best shadow, intricate, the word 'START' written in chalk on a sidewalk","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
48,scenery,768x512,3745127138,"masterpiece, best quality, best shadow, intricate, a tidal wave approaching a coastal road","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
49,scenery,768x512,173376499,"masterpiece, best quality, best shadow, intricate, a fall landscape with a small cottage next to a lake","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
50,people,512x768,8904114895,"masterpiece, best quality, best shadow, intricate, a group of skiers are preparing to walk up a sand dune","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
51,people,512x768,5661439270,"masterpiece, best quality, best shadow, intricate, a Saint Bernard standing up with its paws in the air. A young girl is seated on the dog's shoulders.","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
52,people,512x768,3892569215,"masterpiece, best quality, best shadow, intricate, an old man with a long grey beard and green eyes","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
53,people,512x768,6527211001,"masterpiece, best quality, best shadow, intricate, a man eating a glazed donut and a woman eating a chocolate cake","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
54,people,512x768,4467726520,"masterpiece, best quality, best shadow, intricate, a frustrated child","extra fingers, fewer fingers, bad hands, extra hands, bad anatomy, disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
55,produce & plant,768x512,7459922620,"masterpiece, best quality, best shadow, intricate, A photo of a maple leaf made of water. ","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
56,produce & plant,768x512,8376493814,"masterpiece, best quality, best shadow, intricate, a butterfly kite stuck high in a tree","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
57,produce & plant,768x512,6532914018,"masterpiece, best quality, best shadow, intricate, A photo of a four-leaf clover made of water. ","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
58,produce & plant,768x512,2233537572,"masterpiece, best quality, best shadow, intricate, a smiling banana wearing a bandana","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
59,produce & plant,768x512,7465129606,"masterpiece, best quality, best shadow, intricate, a small garden with an apple tree behind it","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
60,vehicle,768x512,6047528567,"masterpiece, best quality, best shadow, intricate, a submarine floating past a shark","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
61,vehicle,768x512,4402297889,"masterpiece, best quality, best shadow, intricate, a subway train coming out of a tunnel","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
62,vehicle,768x512,5235424873,"masterpiece, best quality, best shadow, intricate, a subway train with no cows in it","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
63,vehicle,768x512,4568468532,"masterpiece, best quality, best shadow, intricate, A photograph of the inside of a subway train. There are frogs sitting on the seats. One of them is reading a newspaper. The window shows the river in the background.","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
64,vehicle,768x512,9286102128,"masterpiece, best quality, best shadow, intricate, a old-time car with a large front grille","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
65,world knowledge,768x512,9826328824,"masterpiece, best quality, best shadow, intricate, a boat in the canals of venice","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
66,world knowledge,768x512,735836385,"masterpiece, best quality, best shadow, intricate, the cover of The Beatle's album Revolver","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
67,world knowledge,768x512,7829008466,"masterpiece, best quality, best shadow, intricate, a Ferrari Testarossa in front of the Kremlin","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
68,world knowledge,768x512,5956840504,"masterpiece, best quality, best shadow, intricate, an abstract painting of the Empire State Building","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
69,world knowledge,768x512,9632658022,"masterpiece, best quality, best shadow, intricate, A shiny VW van that has flowers painted on it. A smiling sloth stands on grass in front of the van and is wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book. ink sketch.","disfigured, blurry, bad art, lowres, low quality, weird colors, duplicate, out of frame, symmetric, NSFW",,7.0
70,world knowledge,512x768,6021156540,"masterpiece, best quality, best shadow, intricate, kpop, korea star, idol producer, black shirt, grey long pants, white suspenders, perfect figure, full body, playing basketball, white background, short hair, middle parting hair style, gray hair, slim","worst quality, low quality, normal quality, lowres, monochrome, grayscale",,
295008,civitai,768x1152,1684432449,"RAW photo, best quality, realistic, photo-realistic., masterpiece, an extremely delicate and beautiful, extremely detailed, CG, unity, k wallpaper, Amazing, finely detail, light smile, extremely detailed CG unity k wallpaper, huge filesize, ultra-detailed, highres, absurdres, soft light, medium hair., short bang, pink hair, floating hair","paintings, sketches, worst quality, low quality, normal quality, lowres, monochrome, grayscale, skin spots, acnes, skin blemishes, age spot, glans, extra fingers, fewer fingers, watermark, white letters, multi nipples, bad anatomy, bad hands, text, error, missing fingers, missing arms, missing legs, extra digit,",DPM++ SDE Karras,7.0
256477,civitai,512x768,3589893419,"RAW photo, best quality, realistic, photo-realistic., girl, high quality, high detailed skin., puffy eyes, gorgeous hair, dark room., rim lighting., dimly lit., dark night., indoors, portrait, black hair, dark background, short hair","worst quality., low quality., monochrome., EasyNegative, bad-artist bad-image-v-, bad_prompt_version, ng_deepnegative_v_t, verybadimagenegative_v.-, vile_prompt, bad-hands-, painting, illustration",DPM++ 2M Karras,7.0
375790,civitai,576x768,3401667259,"masterpiece, best quality, ultra-detailed, full body., girl, chibi, cute, smile, white Bob haircut, red eyes, earring, white shirt, black skirt, lace legwear, sitting on red sofa, seductive posture, smile, A sleek black coffee table sits in front of the sofa and a few decorative items are placed on the shelves, beautiful detailed face,","low quality., worst quality.",Euler a,7.0
163560,civitai,704x856,762635564,"realistic, portrait of a girl, AI language model, silver hair, question answering, smart, kind, energetic, cheerful, creative, with sparkling eyes and a contagious smile, information providing, conversation engaging, wide range of topics, accurate responses, helpful responses, knowledgeable, reliable, friendly, intelligent, sleek and futuristic design elements, and a complex network of circuits and processors.","sexy, paintings, loli, big head, sketches, worst quality, low quality, normal quality, lowres, normal quality, monochrome, grayscale, skin spots, acnes, skin blemishes, age spot, glans, nsfw, nipples, extra fingers, extra arms, extra legs, mutated hands, fused fingers, too many fingers, long",DPM++ SDE Karras,7.0
377175,civitai,512x768,2215488272,"white background. hexagon, detailed face., smile, chinese style, immortal demeanor, long-haired man, peaks, deep ravines, stars, turbulent winds, soaring dragons, cross-shaped sword, purple clouds, giant birds, portal, smoke, flames, mystical runes, ancient robe, red petals, halo, lightning, thunder","EasyNegative, worst quality, low quality, badhandv",DPM++ 2M Karras,8.0
76049,civitai,512x768,2337355207,"masterpiece, best quality., bird's eye view, asymmetrical, blue ocean, low tide, sea waves, coastal road, sandy beach, piers, sailboats, yachts, ship wake, contrail, cars, tourists, lighthouse, seagulls, horizon, breeze, summer, morning, sunny, cloud, calm, fresh air, depth of field","EasyNegative, greyscale, monochrome, water mark, signature",DPM++ 2M Karras,7.0
150224,civitai,768x1024,1791574510,"a cute kitten made out of metal, cyborg., tail  detailed wire., intricate details, hdr, intricate details, hyperdetailed., cinematic shot, vignette, centered","deformed, distorted, disfigured., poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, mutated hands and fingers., disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation, flowers, human, man, woman",Euler a,6.5
124526,civitai,512x768,4061029740,"extremely detailed CG unity k wallpaper, masterpiece, best quality, ultra-detailed, best illustration, best shadow, ultra-high res, realistic, photo-realistic., girl, shopping mall rooftop cafe, white opaque shirt with bow tie, puffy eyes, looking at viewer, smile, close up","paintings, sketches, worst quality, low quality, normal quality, low res, normal quality, monochrome, grayscale, skin spots, acnes, skin blemishes, age spot, glans, bad legs, error legs, bad feet",DPM++ SDE,7.0
366222,civitai,512x512,3592093690,"boy, photograph of Donald Trump, the_trump, business suit, ahegao face, tongue out, upper body, masterpiece, intricate details, highly detailed, bokeh, depth of field <loradont.donaldTrump_v.>","easynegative, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name, deformed iris, deformed pupils, semi-realistic, cgi, d, render, sketch, cartoon,",DPM++ 2M Karras,7.5
620759,civitai,768x768,3895052816,"colorwater, negative space, girl, woman, lips, trees., flowers., birds., bamboo., lakes, Hangzhou","mutated hands, poorly drawn hands., fused fingers., too many fingers., bad hands, missing fingers, extra digit, artist name, bad_prompt_version easynegative",DPM++ SDE Karras,9.0
